text,sentiment,score,length
This insignia was carved on your fireplace.,uncertain,0.4285,7
"It's on this stone, too.",uncertain,0.3241,5
The stone works only in your hands.,uncertain,0.3472,7
It protects its owner and will guide her back to Laputa.,positive,0.4708,11
I know nothing of this!,uncertain,0.3706,5
Take it if you like.,neutral,0.5664,5
Just leave us alone...,very negative,0.5318,4
Perhaps you imagine that Laputa is some kind of treasure island.,uncertain,0.3308,11
Fearsome scientific power thrust Laputa into orbit.,uncertain,0.3612,7
Their dreaded empire once ruled the earth!,very negative,0.6309,7
"Even you can appreciate that when such an entity roams the skies, it threatens peace.",uncertain,0.3507,15
I need your cooperation.,neutral,0.6092,4
You must know how to make the stone guide us to Laputa.,uncertain,0.4231,12
I really don't know!,uncertain,0.3722,4
Please let me see Pazu!,very positive,0.5773,5
"I intend no harm, but his fate rests with you.",uncertain,0.3248,10
What?,uncertain,0.396,1
"The boy goes free if you assist us, Lucita...",uncertain,0.3222,9
Toelle Ur Laputa.,uncertain,0.2802,3
But how...,neutral,0.4966,2
Ur means ruler.,uncertain,0.3756,3
Toelle means True.,very positive,0.5112,3
"You are Princess Lucita, rightful heir to the Laputan throne.",very positive,0.6399,10
Out!,uncertain,0.2588,1
Sheeta!,very positive,0.5312,1
"Pazu, are you hurt?",uncertain,0.3183,4
I'm fine.,neutral,0.6304,2
You?,uncertain,0.3278,1
Did they do anything horrible?,very negative,0.5842,5
"My dear Pazu, we misjudged you.",very negative,0.6431,6
Accept our apologies.,uncertain,0.4407,3
We didn't know how gallantly... you protected her from the pirates.,uncertain,0.3114,11
"Sheeta, what did you...",uncertain,0.3285,4
"Pazu, I beg you, forget about Laputa.",uncertain,0.4112,7
What!,uncertain,0.3293,1
Sheeta will aid us in our search for Laputa.,positive,0.4539,9
"I understand how you feel, but forget about her.",neutral,0.5304,9
"Is this true, Sheeta?",uncertain,0.2647,4
But we...,uncertain,0.399,2
Thank you for everything.,uncertain,0.4268,4
"I'll never forget you, Pazu.",very negative,0.634,5
I don't believe it...,very negative,0.5268,4
"Sheeta, we promised!",uncertain,0.4251,3
Farewell!,very positive,0.5866,1
Sheeta!,very positive,0.5312,1
"Wait, Sheeta!",very positive,0.4803,2
Be reasonable.,uncertain,0.3889,2
Act like a man.,uncertain,0.2794,4
Sheeta!,very positive,0.5312,1
Here's a token of our gratitude.,uncertain,0.4441,6
It's yours.,uncertain,0.4102,2
Only you can recall the words that will waken this stone.,uncertain,0.3803,11
"If you keep your promise, you too shall be free.",uncertain,0.3318,10
Pazu...,uncertain,0.2911,1
"Mama, it's Pazu!",very positive,0.6463,3
He's back!,very positive,0.5463,2
Pazu.,uncertain,0.3938,1
We were so worried.,very negative,0.5674,4
You just disappeared.,very negative,0.5548,3
And the girl?,uncertain,0.2919,3
Forget it.,uncertain,0.4056,2
Pazu!,very positive,0.5191,1
Let me go!,very positive,0.6099,3
What are you doing?,neutral,0.5407,4
Put a lid on it!,uncertain,0.3904,5
"Nice place you got, kid.",uncertain,0.4235,5
Get out!,uncertain,0.3259,2
This is my house!,very positive,0.6472,4
"Oh, come off it.",uncertain,0.395,4
Can't even protect a little girl...,very negative,0.5605,6
What do you say?,neutral,0.5995,4
He's got gold!,very positive,0.5487,3
"Sold her for money, huh?",uncertain,0.3832,5
No!,very negative,0.5534,1
I wouldn't do that!,very negative,0.5219,4
You let them pay you off?,very negative,0.453,6
Sheeta told me to do it.,uncertain,0.3998,6
So...,uncertain,0.4336,1
So you gave in and crawled home.,very positive,0.5682,7
You call yourself a man?,uncertain,0.3309,5
"You talk big, but you're after Sheeta too.",neutral,0.4941,8
"But of course, we're pirates.",uncertain,0.3519,5
Pirates hunt for treasure.,uncertain,0.4178,4
Those guys are strange ones.,uncertain,0.3201,5
What's the girl to them?,uncertain,0.3597,5
You think she'll get out alive?,uncertain,0.3325,6
"So, Sheeta told you to leave?",uncertain,0.2477,6
"They threatened her, so she tried to save you.",uncertain,0.4016,9
"How do you know, Mama?",uncertain,0.3001,5
I've been a woman for 50 years.,uncertain,0.2706,7
She steels her heart to save her man.,very positive,0.5243,8
How touching.,very positive,0.6002,2
Reminds me of my youth.,very positive,0.4694,5
"If you boys want to get married, look for one like her.",uncertain,0.3409,12
So that girl will grow up...,very positive,0.5992,6
To be like Mama?,very negative,0.471,4
What a waste.,very negative,0.7208,3
I've got all your codes.,very positive,0.4853,5
Calling the battle cruiser?,uncertain,0.3006,4
They'll pack her up and take off?,uncertain,0.3295,7
We better hurry!,uncertain,0.2859,3
Dinner's over.,uncertain,0.4061,2
Move out.,uncertain,0.3592,2
"Yes, Mama.",very positive,0.493,2
Going after Sheeta?,uncertain,0.3942,3
"We want the crystal, not the girl.",uncertain,0.3904,7
The stone's no good without her.,very negative,0.6366,6
Can't I go with you?,uncertain,0.3758,5
I have to help Sheeta!,uncertain,0.4138,5
"Do it on your own, like a man.",uncertain,0.3613,8
"You're right, if I was clever and strong, I could've defended her.",positive,0.4534,12
"Please, I don't care about treasure.",uncertain,0.4199,6
Listen to him...,uncertain,0.3131,3
Shut up!,uncertain,0.3624,2
Yes!,uncertain,0.4402,1
He could probably help us with her...,uncertain,0.2886,7
You'll be an outcast forever.,uncertain,0.358,5
I know.,neutral,0.5486,2
You sure?,uncertain,0.422,2
Yup!,very positive,0.5456,1
Be ready in 40 seconds.,uncertain,0.3447,5
"Take care, you guys.",uncertain,0.3342,4
Tie this to your belt.,very negative,0.4812,5
You boys wait on the ship.,uncertain,0.2476,6
A magnificent vessel.,very positive,0.7309,3
Has the girl talked?,uncertain,0.3487,4
I need a little more time.,uncertain,0.3972,6
Forget it!,uncertain,0.4047,2
We'll squeeze it out of her up there.,uncertain,0.2923,8
"We depart at dawn, with the girl.",uncertain,0.29,7
"Step on it, it's almost dawn!",uncertain,0.4296,6
Sheeta!,very positive,0.5312,1
Whatever shall we do?,uncertain,0.3675,4
"Sheeta, listen, I'm going to teach you... a magic spell for trouble.",very positive,0.5113,12
A magic spell?,uncertain,0.2478,3
Yes.,uncertain,0.3673,1
"These are old, old, old secret words.",uncertain,0.4313,7
"They mean ""help me rekindle the light."" Perfect.",very positive,0.4995,8
Just as the ancient books described.,uncertain,0.3503,6
This is the sacred light.,very positive,0.5416,5
Sacred light?,very positive,0.5358,2
What are the magic words?,uncertain,0.3952,5
Tell me.,uncertain,0.3386,2
Let's go.,uncertain,0.4351,2
Yeah.,uncertain,0.3646,1
It's moving!,uncertain,0.4119,2
"The robot, it's alive!",very positive,0.6113,4
Hello!,very positive,0.6173,1
Help!,uncertain,0.4477,1
It's alive!,very positive,0.5351,2
It's the robot!,very positive,0.5886,3
The robot?,very negative,0.4627,2
It's coming this way.,uncertain,0.3746,4
Run!,uncertain,0.3124,1
Retreat!,very positive,0.5849,1
Retreat!,very positive,0.5849,1
Incredible!,very positive,0.7005,1
I see!,very positive,0.4679,2
It's the light!,very positive,0.5124,3
The sacred light broke his seal!,uncertain,0.3595,6
The way to Laputa is open!,very positive,0.4926,6
Come!,very positive,0.5483,1
No!,very negative,0.5534,1
It can fly!,very positive,0.5127,3
It's pointing to the sky...,uncertain,0.2881,5
It's showing the way to Laputa.,uncertain,0.4097,6
Hurry!,uncertain,0.4101,1
Explosives?,uncertain,0.333,1
Idiot!,uncertain,0.4137,1
You'll blow up the fortress!,very positive,0.6437,5
"Hello, hello!",uncertain,0.4492,2
What is this!,uncertain,0.3545,3
Good.,uncertain,0.4438,1
We're connected.,neutral,0.626,2
This is Colonel Muska.,uncertain,0.381,4
The robot cut communication with the ship.,positive,0.5293,7
I've assumed emergency command.,uncertain,0.4377,4
It's after the girl on the tower.,uncertain,0.2403,7
Take it down on sight.,uncertain,0.2926,5
Prepare to fire.,uncertain,0.4191,3
Hurry!,uncertain,0.4101,1
Hurry up!,uncertain,0.3775,2
Fire!,very positive,0.6156,1
Hurry!,uncertain,0.4101,1
We did it.,uncertain,0.4318,3
Amazing!,very positive,0.5933,1
Get the girl.,uncertain,0.3919,3
Is she dead?,very negative,0.7268,3
Get up!,uncertain,0.4082,2
She just fainted.,very negative,0.4506,3
Stand!,uncertain,0.4104,1
It moved...,uncertain,0.3703,2
What's that?,uncertain,0.3998,2
Looks like a war.,very negative,0.5336,4
"Let's go, Dola!",very positive,0.4916,3
"That's Captain, to you!",very positive,0.6176,4
"Lower, Charles.",uncertain,0.3462,2
Stop!,uncertain,0.2849,1
Stop it!,uncertain,0.357,2
Please!,uncertain,0.248,1
"Mama, Goliath's pushing off!",uncertain,0.3956,4
We're going directly into the crossfire.,uncertain,0.3089,6
Regroup!,uncertain,0.4357,1
"Look, there's Sheeta!",uncertain,0.3485,3
Where?,uncertain,0.3606,1
Where?,uncertain,0.3606,1
Straight ahead.,uncertain,0.3293,2
She's on top of that tower!,very positive,0.5619,6
This is a job for a woman!,very positive,0.5283,7
Cover me.,uncertain,0.3705,2
Sheeta!,very positive,0.5312,1
"I'm coming, Sheeta!",very positive,0.6466,3
Pazu!,very positive,0.5191,1
Fly closer!,uncertain,0.3822,2
Pazu!,very positive,0.5191,1
Let me go!,very positive,0.6099,3
Sheeta!,very positive,0.5312,1
Dola!,very positive,0.4615,1
Pazu!,very positive,0.5191,1
Pazu!,very positive,0.5191,1
Pull up!,very negative,0.5399,2
Last chance!,very positive,0.6864,2
Grab her on the fly!,very positive,0.5062,5
Pazu!,very positive,0.5191,1
Here goes!,uncertain,0.4218,2
All right!,uncertain,0.3807,2
Move aside!,uncertain,0.3595,2
Damn!,very positive,0.522,1
Sheeta!,very positive,0.5312,1
What's Goliath doing?,uncertain,0.3943,3
A smoke screen?,uncertain,0.428,3
Where's the robot?,uncertain,0.4407,3
Destroyed.,very negative,0.6436,1
The girl went that way.,very positive,0.4553,5
What!,uncertain,0.3293,1
Put out the fire!,very positive,0.5515,4
Organize a search party!,very positive,0.4587,4
We haven't lost the sacred stone.,uncertain,0.3415,6
Its light points to Laputa...,uncertain,0.3814,5
"Inform the general, we'll depart for Laputa as planned.",uncertain,0.4148,9
Lucky guy...,uncertain,0.345,2
I can't believe she'll grow up to be just like Mama...,uncertain,0.2962,11
There's your valley...,uncertain,0.3964,3
Right back where we started.,uncertain,0.4378,5
"Dola, please take us aboard.",uncertain,0.3407,5
Call me Captain!,very positive,0.6365,3
What use are you without the crystal?,uncertain,0.3221,7
We'll work.,neutral,0.4661,2
I want to see Laputa for myself.,uncertain,0.3736,7
Don't want any treasure?,very negative,0.5297,4
You just want to see Laputa?,uncertain,0.2742,6
Suspect motives for boarding a pirate ship.,uncertain,0.4454,7
"Are they coming with us, Mama?",uncertain,0.2842,6
One false move and you're shark bait!,very negative,0.507,7
Excellent!,very positive,0.6547,1
No more laundry or cleaning duty!,uncertain,0.426,6
Or dish washing!,very negative,0.5365,3
Or potato peeling!,uncertain,0.4477,3
Can you make pudding?,uncertain,0.3003,4
Yes...,uncertain,0.3973,1
I like mincemeat pie.,uncertain,0.4463,4
"I eat, uhm... anything!",uncertain,0.313,4
Enough out of you!,uncertain,0.3108,4
When will those boys ever grow up?,uncertain,0.3887,7
Get off!,uncertain,0.3637,2
Canvas.,uncertain,0.4283,1
It's made of cloth.,uncertain,0.3296,4
And don't tear it.,uncertain,0.4205,4
