text,sentiment,sentiment_score,theme,theme_score,length
It's your fate to go there and see what you can see with eyes unclouded by hate.,very negative,0.6208,Personal Growth,0.29,17
You may find a way to lift the curse.,neutral,0.576,Family,0.6596,9
You understand?,neutral,0.4624,Family,0.7922,2
Yes.,uncertain,0.3673,Family,0.9347,1
We are the last of the Emishi.,uncertain,0.3753,Family,0.5741,7
It's 500 years since the emperor destroyed our tribe...,very negative,0.5485,Trauma,0.9755,9
and drove the remnants of our people to the east.,uncertain,0.3893,Family,0.8463,10
"Some managed to survive here for all these years, but our tribe's blood has grown thinner and weaker with each generation.",neutral,0.4948,Family,0.9328,21
"Now our last prince must cut his hair and leave us, never to return?",uncertain,0.4319,Family,0.9425,14
Sometimes I think the gods are laughing at us.,uncertain,0.2624,Trauma,0.521,9
"Our laws forbid us from watching you go, Ashitaka.",uncertain,0.4493,Trauma,0.3718,9
Farewell.,uncertain,0.3897,Grief,0.6454,1
Ashitaka!,very positive,0.6582,Personal Growth,0.6313,1
"Kaya, what are you doing here?",uncertain,0.3566,Family,0.3865,6
You know it's forbidden.,uncertain,0.3058,Family,0.4512,4
Do you think I care about that?,uncertain,0.4212,Family,0.4903,7
I came to give you this so you won't forget your little sister.,very positive,0.4923,Family,0.978,13
Your crystal dagger.,uncertain,0.3847,Resilience,0.2424,3
"Kaya, I can't take this.",uncertain,0.444,Family,0.8307,5
"Please, keep it with you, brother, to protect you.",uncertain,0.3269,Family,0.9908,9
"Please, I want you to have it, so you won't...",uncertain,0.37,Family,0.8723,10
forget.,very negative,0.4826,Family,0.3589,1
"Kaya, you know I could never forget you.",very positive,0.4634,Family,0.9337,8
A battle?,uncertain,0.4031,Resilience,0.0054,2
Move in!,very positive,0.4849,Personal Growth,0.9093,2
Look!,uncertain,0.4131,Family,0.7393,1
"Up there, on the hill!",uncertain,0.4274,Family,0.7363,5
His head is mine!,uncertain,0.4196,Identity,0.9509,4
Stop!,uncertain,0.2849,Family,0.771,1
My arm!,very positive,0.5359,Trauma,0.9163,2
What's happening to me?,neutral,0.4898,Personal Growth,0.5145,4
Hurry!,uncertain,0.4101,Family,0.7446,1
Stop him before he gets away!,very negative,0.456,Trauma,0.6166,6
Let me pass!,very positive,0.4587,Personal Growth,0.8138,3
I'm warning you!,very positive,0.5148,Family,0.7296,3
A demon.,very negative,0.752,Trauma,0.0215,2
The mark is getting bigger.,uncertain,0.319,Personal Growth,0.8053,5
Are you selling soup or donkey piss?,neutral,0.5656,Personal Growth,0.0091,7
There he is now.,neutral,0.491,Family,0.8284,4
Will this be enough?,uncertain,0.4021,Family,0.7091,4
What are you trying to pull?,uncertain,0.3331,Family,0.3484,6
This isn't money.,very negative,0.4995,Personal Growth,0.5178,3
"Give me back my rice, you little thief.",uncertain,0.4195,Trauma,0.3278,8
"Excuse me, but might I inspect that?",uncertain,0.3539,Family,0.5318,7
"But this is a lump of pure gold, you silly woman!",very positive,0.6241,Personal Growth,0.8779,11
"If it's money you want, I'll pay for the rice and take this nugget off your hands.",uncertain,0.2801,Resilience,0.4105,17
"My good people, is there a money changer who could tell us how much this is worth?",very positive,0.5941,Family,0.7069,17
No?,very negative,0.4566,Family,0.5772,1
All right.,uncertain,0.4407,Family,0.828,2
"Now, I'm just a monk, but I'd say three bags of rice at least.",uncertain,0.3717,Personal Growth,0.7461,14
"That's right, maybe even more.",neutral,0.4927,Family,0.7567,5
"Hey, wait a minute.",neutral,0.4973,Family,0.7343,4
Give me my gold!,very positive,0.6608,Personal Growth,0.4772,4
Hey!,uncertain,0.3457,Family,0.7355,1
You can't just rush off now.,uncertain,0.3057,Family,0.7634,6
Don't you even think of thanking me.,very negative,0.5601,Personal Growth,0.517,7
It was my pleasure.,positive,0.5296,Family,0.8083,4
"In fact, I should be thanking you, really.",uncertain,0.3719,Personal Growth,0.798,8
"You see, I was caught in that battle.",uncertain,0.4494,Trauma,0.6677,8
I saw what you did to those samurai.,uncertain,0.3543,Trauma,0.8619,8
You fight like a demon.,very positive,0.5151,Identity,0.0666,5
Where'd you learn to fight like that?,uncertain,0.407,Resilience,0.2416,7
I see you noticed we're being followed.,neutral,0.6577,Identity,0.3127,7
That's what we get for waving gold.,uncertain,0.3047,Family,0.0816,7
"They'll wait till we're asleep, then slit our throats.",uncertain,0.3935,Family,0.6343,9
What to you say we give 'em a little demonstration of how fast we can run?,neutral,0.4932,Family,0.4731,16
So the demon monster turned out to be a giant boar.,uncertain,0.3205,Resilience,0.5482,11
"I followed its trail westward through the mountains, but then-- You lost it.",uncertain,0.4071,Trauma,0.7244,13
That's life.,very positive,0.5156,Personal Growth,0.1194,2
See this place here?,uncertain,0.3471,Resilience,0.6935,4
"When I came here last, a few years back, this was a lovely little village.",uncertain,0.3867,Resilience,0.7323,15
But then there must have been a flood or a landslide.,neutral,0.5765,Trauma,0.473,11
Everybody's dead.,very negative,0.594,Trauma,0.82,2
"These days, there are angry ghosts all around us, dead from wars, sickness, starvation.",very negative,0.7461,Trauma,0.897,14
And nobody cares.,very negative,0.6923,Family,0.6723,3
So you say you're under a curse?,very negative,0.4681,Grief,0.0308,7
So what?,uncertain,0.3431,Family,0.3799,2
So's the whole damn world.,very positive,0.5542,Identity,0.4143,5
"Ah, this is good!",very positive,0.4715,Family,0.8312,4
I was wrong to fight in that village.,uncertain,0.4465,Trauma,0.4984,8
Two men are dead because of me.,very negative,0.617,Trauma,0.6391,7
Samurai thugs.,uncertain,0.34,Trauma,0.0096,2
"You win some, you lose some.",neutral,0.4749,Family,0.621,6
Hand me your bowl.,uncertain,0.417,Family,0.8447,4
"My point is, everybody dies.",very negative,0.5528,Family,0.5775,5
"Some now, some later.",neutral,0.7138,Personal Growth,0.78,4
Beautiful bowl.,very positive,0.4633,Resilience,0.3804,2
I've seen one other like it.,uncertain,0.4471,Family,0.3006,6
Have you ever heard of the Emishi people?,uncertain,0.4123,Resilience,0.0186,8
They're said to ride red elks.,uncertain,0.333,Resilience,0.1338,6
They also use stone arrowheads just like you.,uncertain,0.3407,Family,0.4751,8
"Of course, they were all wiped out 500 years ago.",uncertain,0.332,Family,0.3103,10
Don't worry.,very negative,0.6097,Resilience,0.7732,2
I won't tell anyone where you're from.,uncertain,0.4416,Identity,0.8337,7
"Anyway, I've got much bigger fish to fry.",uncertain,0.3073,Personal Growth,0.6358,8
Have you ever come across anything like this before?,uncertain,0.3185,Family,0.3969,9
Never have.,very negative,0.5754,Family,0.6734,2
It was inside the giant boar.,uncertain,0.2829,Trauma,0.7766,6
I'm sure it was that ball that killed him.,very negative,0.679,Trauma,0.856,9
There's a place high in the mountains far to the west of here.,uncertain,0.2794,Resilience,0.5685,13
"It's where the Forest Spirit dwells, and it's very dangerous for humans.",very negative,0.522,Trauma,0.0091,12
To enter there is certain death.,very negative,0.5013,Trauma,0.2165,6
The Forest Spirit?,uncertain,0.3982,Resilience,0.0049,3
"I've been told the beasts there are all giants, just as they were in the dawn of time.",uncertain,0.3368,Resilience,0.1077,18
"See ya there, my friend.",neutral,0.5383,Friendship,0.9922,5
"The sooner we get this rice home, the sooner we eat.",very positive,0.5626,Family,0.7549,11
Let's move!,uncertain,0.3511,Personal Growth,0.8198,2
Coming this way!,very positive,0.6068,Family,0.8321,3
Wolves!,uncertain,0.4263,Personal Growth,0.0123,1
Don't let the oxen panic!,uncertain,0.3661,Resilience,0.8267,5
Stay calm!,very positive,0.5148,Family,0.9154,2
Take up your positions!,uncertain,0.4219,Personal Growth,0.9022,4
Keep your powder dry.,very negative,0.542,Family,0.8285,4
Make sure you wait for them to come within range!,uncertain,0.3444,Family,0.8052,10
Ready!,uncertain,0.4176,Family,0.8438,1
And fire!,very positive,0.6362,Personal Growth,0.0546,2
Second round!,uncertain,0.3501,Family,0.6286,2
Fire!,very positive,0.6156,Personal Growth,0.0044,1
That was it?,uncertain,0.3601,Family,0.6875,3
They weren't so big.,negative,0.4691,Family,0.6954,4
They're just pups.,uncertain,0.286,Personal Growth,0.6917,3
Wait till you see their mother.,uncertain,0.4101,Family,0.9886,6
It's Moro!,very positive,0.4559,Family,0.9324,2
Come on.,uncertain,0.4016,Family,0.8255,2
We killed her!,very negative,0.6436,Trauma,0.9005,3
You forget she is a god.,very positive,0.6462,Resilience,0.2875,6
It will take more than that.,uncertain,0.2705,Family,0.7073,6
She certainly did some damage.,uncertain,0.4371,Trauma,0.8705,5
We move out now.,uncertain,0.343,Personal Growth,0.944,4
What about the men she pushed over the cliff?,very negative,0.5246,Trauma,0.8461,9
They're dead.,very negative,0.562,Trauma,0.6798,2
Let's get the living home.,uncertain,0.3166,Family,0.7734,5
He's still breathing.,very positive,0.6076,Resilience,0.9042,3
Hang on.,uncertain,0.3281,Family,0.8286,2
My name is Ashitaka!,very positive,0.6866,Identity,0.8454,4
I have travelled far from lands to the east.,uncertain,0.2812,Personal Growth,0.54,9
"Are you ancient gods, and have I come to the realm of the Forest Spirit?",very positive,0.6695,Identity,0.0183,15
Go away.,uncertain,0.2977,Trauma,0.6767,2
A kodama!,very positive,0.6277,Family,0.4232,2
I never thought I'd see one of them here.,uncertain,0.3853,Personal Growth,0.5561,9
Easy there.,uncertain,0.4274,Family,0.8566,2
"You don't want to make your injuries worse, do you?",uncertain,0.2968,Trauma,0.6602,10
He's a tree spirit.,very positive,0.4876,Resilience,0.6079,4
He brings good luck.,uncertain,0.2678,Family,0.4398,4
It's a sign this forest is healthy.,very positive,0.5187,Resilience,0.4281,7
But they'll lead their lord and master right to us.,very positive,0.5489,Family,0.8998,10
Who do you mean?,uncertain,0.3704,Resilience,0.0681,4
Those wolves I just saw?,uncertain,0.3127,Trauma,0.8975,5
"No, I mean a real monster, like a huge enormous deer.",uncertain,0.3038,Trauma,0.3023,11
Where did it go?,uncertain,0.3423,Family,0.3428,4
"If Yakul's not afraid, then we have nothing to worry about here.",neutral,0.5027,Resilience,0.8806,12
"Would you be kind enough to grant us passage through your forest, little one?",neutral,0.5288,Empathy,0.841,14
"Sir, I really think we should turn around now.",uncertain,0.4034,Family,0.787,9
No humans have ever made it through these woods alive.,very negative,0.6658,Trauma,0.7938,10
There's a lovely trail back across the river.,positive,0.4866,Resilience,0.7147,8
"The current's too swift for us to get across, and your friend's injuries are very bad.",negative,0.5549,Trauma,0.9164,16
"Hey, little fellow, are you showing us the way or just getting us more lost?",neutral,0.4827,Personal Growth,0.6546,15
"Please, sir, I'm really pretty sure they're not trying to help us get home.",uncertain,0.2833,Trauma,0.6891,14
My God!,very positive,0.6779,Trauma,0.6869,2
There's thousands of them.,uncertain,0.381,Resilience,0.5418,4
Look at that.,neutral,0.5291,Family,0.7933,3
"That must be their mother, a fine old tree.",uncertain,0.2476,Family,0.9927,9
The tracks of those wolves and the girl with them.,uncertain,0.3781,Trauma,0.9417,10
This place must be where the four of them live.,neutral,0.4986,Family,0.9884,10
"Sir, I think we took a wrong turn.",very negative,0.4713,Trauma,0.7107,8
This is a place for gods and demons.,very positive,0.5118,Resilience,0.0037,8
I think we're safe.,uncertain,0.3861,Family,0.8915,4
We'll rest a bit.,neutral,0.4942,Family,0.9069,4
More tracks?,uncertain,0.4267,Personal Growth,0.0714,2
Whatever made these made them recently.,uncertain,0.3566,Family,0.5034,6
Sir!,very positive,0.5642,Personal Growth,0.622,1
What's going on?,neutral,0.4787,Family,0.4452,3
What just happened there?,uncertain,0.3803,Family,0.3722,4
You went white as a sheet all of a sudden.,uncertain,0.4245,Trauma,0.8827,10
Here.,uncertain,0.4147,Family,0.8075,1
Did you see anything just then?,uncertain,0.356,Family,0.4033,6
Like what?,uncertain,0.3593,Personal Growth,0.3372,2
Forget it.,uncertain,0.4056,Family,0.5781,2
Hang on just a little longer.,uncertain,0.3788,Family,0.8261,6
You're almost home.,very positive,0.6815,Resilience,0.3639,3
Thank you.,positive,0.5047,Family,0.8872,2
"It's gone, That's strange.",uncertain,0.3296,Grief,0.6274,4
Suddenly he doesn't feel heavy at all.,very negative,0.5273,Resilience,0.8803,7
My arm!,very positive,0.5359,Trauma,0.9163,2
It doesn't hurt!,uncertain,0.2946,Family,0.8018,3
It's healed!,very positive,0.5896,Family,0.8538,2
"No, it's still broken.",uncertain,0.2612,Family,0.7732,4
"Sir, you were right.",uncertain,0.3833,Family,0.6926,4
We made it back home just like you said!,very positive,0.6043,Family,0.9378,9
It's a fortress.,very positive,0.4978,Resilience,0.9533,3
It's Lady Eboshi's Irontown.,very positive,0.5851,Identity,0.0106,4
We make iron here from the ore in the sand.,very negative,0.477,Resilience,0.2071,10
Hey!,uncertain,0.3457,Family,0.7355,1
Hey!,uncertain,0.3457,Family,0.7355,1
Someone's come out of the woods.,very negative,0.4522,Personal Growth,0.7021,6
Is it the Wolf Girl?,uncertain,0.423,Trauma,0.1378,5
Look!,uncertain,0.4131,Family,0.7393,1
It's me!,very positive,0.5699,Identity,0.9952,2
"Kohroku, the ox driver!",very negative,0.5293,Resilience,0.0078,4
It's Kohroku!,very negative,0.6309,Personal Growth,0.051,2
He's alive!,very positive,0.6341,Resilience,0.9627,2
Kohroku's alive!,very positive,0.604,Resilience,0.9596,2
It's true!,very positive,0.6222,Family,0.8513,2
Kohroku's still alive!,very positive,0.6185,Resilience,0.9754,3
Let's go see!,uncertain,0.4432,Personal Growth,0.6566,3
"I'm trying to tally these accounts here, so shut up!",uncertain,0.3638,Resilience,0.4457,10
Haven't you heard?,uncertain,0.3211,Family,0.735,3
Kohroku's come back from the dead!,uncertain,0.3636,Resilience,0.9059,6
What?,uncertain,0.396,Family,0.3908,1
This is unbelievable.,uncertain,0.3089,Family,0.616,3
"Where are the others, Kohroku?",uncertain,0.3359,Loneliness,0.2821,5
"Yes, is my son with you?",uncertain,0.4075,Family,0.9868,6
I'm afraid we're the only ones who made it.,very negative,0.4663,Family,0.8428,9
It's never the guards that die.,very negative,0.6893,Resilience,0.235,6
Stand aside.,neutral,0.5922,Family,0.6143,2
"That man in the weird costume, sir?",uncertain,0.2461,Empathy,0.3105,7
Who do you think it could be?,uncertain,0.3478,Resilience,0.4535,7
He's obviously an outsider.,uncertain,0.2779,Loneliness,0.7422,4
This stranger saved our lives.,very positive,0.6445,Resilience,0.6454,5
He carried the rifleman all the way back here.,uncertain,0.2646,Resilience,0.8882,9
You should be grateful to him.,uncertain,0.3285,Resilience,0.6706,6
"Hey, watch the arm.",uncertain,0.3126,Family,0.564,4
Sir.,very positive,0.4849,Resilience,0.7463,1
Hold it right there.,neutral,0.5713,Family,0.8757,4
"I'm very grateful for you bringing these men back to us, stranger, but something doesn't smell right.",very negative,0.4756,Resilience,0.6207,17
You got back almost as fast as we did and through the forbidden forest with two badly injured men and you want me to believe-- Kohroku!,very positive,0.65,Trauma,0.8855,26
You're alive!,very positive,0.6229,Resilience,0.9222,2
Toki!,very positive,0.5689,Personal Growth,0.4296,1
That's just great!,very positive,0.4945,Family,0.877,3
"How are you gonna drive the ox now, all banged up and mangled?",uncertain,0.2883,Trauma,0.8696,13
But...,uncertain,0.3872,Family,0.8111,1
You scared me half to death.,very negative,0.4828,Trauma,0.9362,6
I wish the wolves had eaten you.,uncertain,0.4206,Trauma,0.8319,7
Then maybe I could have found a real husband!,uncertain,0.3858,Personal Growth,0.6962,9
"Sweetness, can we discuss this later?",uncertain,0.3708,Family,0.7851,6
"Toki, save your sweet nothings for some other time.",uncertain,0.4114,Personal Growth,0.5751,9
"And as for you, Gonza, a fine captain of the guard you are, always strutting and throwing your weight around once the danger's over.",very positive,0.4717,Resilience,0.7213,24
You never do a lick of work around here.,very negative,0.6547,Family,0.7329,9
That's unfair and untrue.,very negative,0.6736,Family,0.5489,4
"Thanks, stranger.",uncertain,0.3272,Empathy,0.7641,2
"My husband's an idiot, but I'm glad he's safe and sound.",uncertain,0.412,Family,0.9327,11
"Oh, good.",very positive,0.5158,Family,0.8735,2
I was starting to think I'd done something wrong by bringing him back home.,uncertain,0.3494,Family,0.8491,14
"Say, why don't you take the mask off?",uncertain,0.4022,Family,0.7134,8
I bet you're really handsome.,uncertain,0.2695,Personal Growth,0.5186,5
Gonza?,uncertain,0.3237,Personal Growth,0.4033,1
Bring the stranger to me later.,uncertain,0.4258,Empathy,0.7607,6
I would like to thank him personally.,uncertain,0.2731,Personal Growth,0.944,7
Kohroku.,very negative,0.5345,Personal Growth,0.1321,1
"I'm happy you're back, and I apologize.",positive,0.4757,Family,0.8476,7
"Milady, you really shouldn't tell him things like that.",uncertain,0.2307,Family,0.7825,9
"If you're too nice to him, he'll walk all over you.",uncertain,0.3113,Family,0.8137,11
"I hope you'll forgive me, too, Toki.",uncertain,0.4337,Empathy,0.8641,7
I was responsible.,uncertain,0.3783,Identity,0.5396,3
I should never have let it happen.,uncertain,0.375,Trauma,0.8013,7
That's all right.,neutral,0.4734,Family,0.8165,3
"Milady, if you hadn't been there, the wolves would have eaten everyone.",uncertain,0.2681,Trauma,0.8428,12
So true!,very positive,0.6916,Family,0.7863,2
No mistake!,very negative,0.6143,Family,0.8411,2
"Get some rest, traveller.",uncertain,0.3525,Trauma,0.5967,4
I will see you this evening.,uncertain,0.3824,Friendship,0.8366,6
Hey!,uncertain,0.3457,Family,0.7355,1
"You're not handsome, you're gorgeous!",uncertain,0.3471,Personal Growth,0.7806,5
Here!,very positive,0.47,Family,0.7095,1
"You know, they had to fight off wolves to get this rice through.",uncertain,0.3352,Resilience,0.7941,13
Just dish it out!,very negative,0.5352,Family,0.793,4
There he is!,uncertain,0.3322,Family,0.8195,3
Where is he?,uncertain,0.3605,Personal Growth,0.5146,3
Toki was right.,uncertain,0.4064,Family,0.6515,3
He is handsome.,uncertain,0.3757,Family,0.7923,3
But he's so young!,very positive,0.639,Personal Growth,0.8749,4
That never stopped you before.,uncertain,0.4208,Resilience,0.9771,5
Quiet out there!,uncertain,0.4033,Family,0.7837,3
We lost some good men today.,uncertain,0.3602,Grief,0.8823,6
"Yeah, there's lots of gorgeous men in here, honey!",likely_emotive,0.4537,Personal Growth,0.6514,9
I've seen cattle that looked better.,uncertain,0.3586,Resilience,0.1132,6
"Listen, stranger, come over to our place?",uncertain,0.2585,Empathy,0.9204,7
You don't want to stay in this old barn.,very negative,0.5469,Resilience,0.5555,9
"Look, woman!",very positive,0.4995,Personal Growth,0.7431,2
"We risked our lives to bring you the rice, so watch your mouth.",uncertain,0.3897,Family,0.9923,13
And who made the iron that paid for that rice?,uncertain,0.3308,Resilience,0.4701,10
Tell me that.,neutral,0.4806,Family,0.6261,3
"Yeah, we're pumping those bellows while you pigs are in bed.",uncertain,0.3671,Family,0.6986,11
"Actually, if it's not too much trouble, I would like to see where you work.",neutral,0.5167,Resilience,0.5648,15
You would?,neutral,0.4772,Family,0.8711,2
We'll have to work in make-up tonight.,uncertain,0.4126,Family,0.7604,7
Lend me your lipstick.,uncertain,0.282,Romantic Love,0.8058,4
Don't forget now.,very negative,0.4606,Family,0.7816,3
We'll be waiting for you.,neutral,0.4921,Family,0.957,5
"It's best not to pay them any mind, you know.",uncertain,0.4137,Family,0.5445,10
Lady Eboshi spoils them rotten.,very negative,0.6511,Family,0.6121,5
That's why they're like that.,neutral,0.4536,Family,0.8009,5
They say that happy women make a happy village.,positive,0.513,Family,0.8024,9
Happy?,uncertain,0.31,Family,0.8037,1
Ha!,very positive,0.5022,Family,0.756,1
Those kind of women workin' here?,uncertain,0.3001,Personal Growth,0.5853,6
Women like that--It's a disgrace.,uncertain,0.407,Trauma,0.4814,5
They defile the iron.,uncertain,0.4431,Trauma,0.557,4
Lady Eboshi goes around buying the contract of every brothel girl she can find.,positive,0.4606,Resilience,0.2876,14
"Milady has a kind heart, that's all.",uncertain,0.4097,Family,0.9512,7
"You got rice on your chin, old man.",uncertain,0.3785,Trauma,0.8438,8
It's true.,uncertain,0.3693,Family,0.869,2
Everything here has turned upside-down since she showed up.,uncertain,0.3527,Family,0.8794,9
That's right.,neutral,0.5056,Family,0.8355,2
"She's not even afraid of the gods, that woman.",very positive,0.6247,Resilience,0.971,9
You should have seen the way she dealt with Nago.,neutral,0.6377,Resilience,0.8709,10
Am I right?,uncertain,0.4241,Family,0.7216,3
Who's Nago?,very negative,0.4573,Identity,0.7663,2
"""Who's Nago?"" The gigantic boar god.",very positive,0.6425,Identity,0.2585,6
He used to rule this whole forest.,uncertain,0.3436,Resilience,0.1299,7
We couldn't even get near the mountains with him around.,uncertain,0.3261,Trauma,0.7788,10
Nothing to do but sit around on our backsides for months.,uncertain,0.3997,Loneliness,0.6543,11
"See, the iron in the sand under this town had all been dug out.",uncertain,0.3789,Resilience,0.5135,14
"Then we tried to get at the iron under the mountain, but Nago wasn't gonna stand for that.",uncertain,0.3724,Trauma,0.28,18
"Before we could dig for the iron, we had to clear away the forest, and that's what made the boar angry.",uncertain,0.411,Trauma,0.6283,21
He's feeling no pain.,uncertain,0.4159,Family,0.7891,4
Then one day Lady Eboshi came along with her warriors and her rifles.,uncertain,0.3547,Resilience,0.5329,13
"Young man, what's wrong?",uncertain,0.2872,Empathy,0.8117,4
Is something hurting your arm?,uncertain,0.4192,Empathy,0.3586,5
"No, I was just thinking about the boar god.",uncertain,0.3714,Trauma,0.0285,9
I was thinking how he must have died filled with hate.,very negative,0.6943,Trauma,0.8362,11
"Forgive me for keeping you waiting, stranger.",uncertain,0.2757,Empathy,0.646,7
That's good iron.,uncertain,0.289,Resilience,0.453,3
We were running behind with tomorrow's shipment.,uncertain,0.3817,Resilience,0.4705,7
Let's have a rest.,uncertain,0.4477,Family,0.9196,4
You may tell the others.,neutral,0.6809,Family,0.7239,5
"Yes, ma'am.",neutral,0.5371,Family,0.8839,2
Some think you're a spy for the Wolf Girl or for Lord Asano and his samurai.,uncertain,0.4486,Identity,0.4456,16
There are a lot of people out there with their eyes on this iron.,uncertain,0.3802,Personal Growth,0.1231,14
"Why are you here, if you don't mind my asking?",uncertain,0.3786,Empathy,0.2791,10
I believe you'll recognize this.,uncertain,0.3248,Family,0.8311,5
"It shattered the bones of a giant boar, rotted his flesh and turned him into a monster.",very negative,0.7922,Trauma,0.9045,17
"I fought with him, and for that I was cursed with this mark on my arm, and soon it will kill me.",uncertain,0.4046,Trauma,0.954,22
Where is it you come from?,neutral,0.5075,Identity,0.266,6
I've never seen a red elk like that before.,very negative,0.6982,Resilience,0.5278,9
I have come a very long way.,uncertain,0.3594,Personal Growth,0.9696,7
I can't tell you more than that.,very negative,0.5357,Family,0.7078,7
Answer milady's question or I'll cut you in half!,uncertain,0.2598,Trauma,0.4411,9
What do you plan to do?,neutral,0.59,Personal Growth,0.6839,6
What exactly are you here for?,neutral,0.549,Identity,0.3143,6
To see with eyes unclouded by hate.,very negative,0.5384,Resilience,0.1797,7
"""Eyes unclouded""?",uncertain,0.3119,Family,0.3536,2
