text,sentiment,sentiment_score,theme,theme_score,length
But I know who does!,uncertain,0.3317,Family,0.8656,5
The crops are turning black.,uncertain,0.4348,Trauma,0.3806,5
What about the fish?,uncertain,0.3691,Resilience,0.2638,4
This is happening all over the island.,uncertain,0.3486,Resilience,0.7192,7
"Please, please settle down.",uncertain,0.2829,Family,0.9145,4
What are you going to do?,neutral,0.5626,Personal Growth,0.5204,6
We will dig new fields.,uncertain,0.3427,Resilience,0.2642,5
We will find a way to...,uncertain,0.3965,Family,0.8232,6
We can stop the darkness!,very positive,0.4617,Loneliness,0.6289,5
Save our island!,very positive,0.656,Resilience,0.4438,3
There's a cavern of boats.,uncertain,0.3844,Resilience,0.1019,5
Huge canoes.,uncertain,0.3803,Resilience,0.3587,2
"We can take them, find Maui, make him restore the heart.",very positive,0.4667,Personal Growth,0.7512,11
We were voyagers.,uncertain,0.4103,Personal Growth,0.1747,3
We can voyage again!,very positive,0.6945,Resilience,0.7895,4
You told me to help our people.,uncertain,0.4421,Resilience,0.6187,7
This is how we help our people.,uncertain,0.436,Resilience,0.5823,7
Dad?,uncertain,0.3396,Family,0.9906,1
What are you doing?,neutral,0.5407,Personal Growth,0.5829,4
I should've burned those boats a long time ago!,very negative,0.4991,Trauma,0.8527,9
No!,very negative,0.5534,Family,0.9037,1
Don't!,very negative,0.5023,Family,0.8107,1
We have to find Maui.,uncertain,0.3459,Resilience,0.4096,5
We have to restore the heart!,very positive,0.6487,Personal Growth,0.7248,6
There is no heart!,very negative,0.7723,Loneliness,0.9348,4
This is just a rock!,very positive,0.4743,Resilience,0.1074,5
No!,very negative,0.5534,Family,0.9037,1
Chief!,very positive,0.5889,Identity,0.4543,1
It's your mother!,very positive,0.6825,Family,0.9979,3
Mother...,uncertain,0.339,Family,0.996,1
What can be done?,neutral,0.5435,Family,0.6066,4
Go.,uncertain,0.3746,Personal Growth,0.843,1
Gramma.,uncertain,0.3978,Family,0.9788,1
Go.,uncertain,0.3746,Personal Growth,0.843,1
Not now.,negative,0.4672,Family,0.694,2
I can't.,uncertain,0.34,Trauma,0.8142,2
You must!,very positive,0.5522,Family,0.8129,2
The ocean chose you.,very positive,0.4508,Resilience,0.5088,4
Follow the fish hook.,positive,0.4649,Resilience,0.4962,4
Gramma...,uncertain,0.3692,Family,0.9949,1
And when you find Maui...,uncertain,0.3995,Personal Growth,0.2799,5
you grab him by the ear.,uncertain,0.2661,Family,0.6676,6
You say...,neutral,0.453,Family,0.7518,2
"""I am Moana of Motunui.",uncertain,0.2314,Identity,0.9598,5
"""You will board my boat...",uncertain,0.3597,Resilience,0.4879,5
"""sail across the sea...",uncertain,0.3161,Resilience,0.2373,4
"""and restore the heart of Te Fiti."" I can't leave you.",very positive,0.5505,Family,0.8969,11
There is nowhere you could go that I won't be with you.,uncertain,0.4004,Family,0.9475,12
Go!,very positive,0.4999,Personal Growth,0.9034,1
"There's a line where the sky meets the sea And it calls me But no one knows How far it goes All that time wondering where I need to be is behind me I'm on my own To worlds unknown Every turn I take Every trail I track Is a choice I make Now I can't turn back from the great unknown Where I go alone Where I long to be See her light up the night in the sea She calls me And yes, I know That I can go There's a moon in the sky And the wind is behind me Soon I'll know How far I'll go I am Moana of Motunui.",uncertain,0.4483,Personal Growth,0.7949,115
You will board my boat...,uncertain,0.3657,Resilience,0.691,5
sail across the sea and restore the heart of Te Fiti.,very positive,0.5531,Resilience,0.7588,11
I am Moana...,uncertain,0.2686,Identity,0.9793,3
of Motu...,uncertain,0.2799,Resilience,0.7061,2
...nui.,uncertain,0.3608,Loneliness,0.9683,1
Heihei?,uncertain,0.4073,Identity,0.6081,1
It's okay.,neutral,0.6938,Family,0.7846,2
You're all right.,uncertain,0.3993,Family,0.8965,3
See?,uncertain,0.3472,Family,0.7879,1
There we go.,neutral,0.5941,Family,0.7744,3
Nice water.,uncertain,0.4323,Resilience,0.271,2
The ocean is a friend of mine.,uncertain,0.4103,Friendship,0.9561,7
Heihei?,uncertain,0.4073,Identity,0.6081,1
Heihei!,very positive,0.6334,Identity,0.9619,1
Stay.,uncertain,0.3367,Resilience,0.9278,1
Okay.,neutral,0.7094,Family,0.8657,1
"Next stop, Maui.",uncertain,0.3021,Personal Growth,0.8703,3
I am Moana of Motunui.,uncertain,0.2884,Identity,0.9782,5
You will board my boat...,uncertain,0.3657,Resilience,0.691,5
sail...,uncertain,0.4039,Personal Growth,0.5298,1
across the sea...,uncertain,0.3648,Resilience,0.5311,3
and restore the heart of Te Fiti.,very positive,0.5139,Family,0.9063,7
I am Moana of Motu...,uncertain,0.3021,Identity,0.9455,5
Board my boat!,uncertain,0.3167,Friendship,0.9128,3
"Oh, no.",uncertain,0.4435,Family,0.826,2
"No, no, no!",very negative,0.5215,Family,0.9186,3
Ocean...,uncertain,0.3144,Resilience,0.1978,1
can I get a little help?,uncertain,0.3123,Family,0.6131,6
"No, no.",uncertain,0.4292,Family,0.8691,2
Please.,uncertain,0.3244,Family,0.8544,1
Come on!,very positive,0.5919,Personal Growth,0.8703,2
Help me!,uncertain,0.4382,Personal Growth,0.8082,2
Please!,uncertain,0.248,Family,0.8072,1
What?,uncertain,0.396,Family,0.3908,1
I said help me!,uncertain,0.4024,Personal Growth,0.8116,4
And wrecking my boat?,very negative,0.5524,Trauma,0.7649,4
Not helping!,negative,0.5027,Trauma,0.7387,2
Fish pee in you all day!,very positive,0.5498,Trauma,0.4613,6
So...,uncertain,0.4336,Family,0.757,1
Maui?,uncertain,0.2611,Resilience,0.3449,1
Maui!,very positive,0.5062,Personal Growth,0.5425,1
"Maui, demigod of the wind and sea...",uncertain,0.4152,Resilience,0.7472,7
I am Moana of Motunui.,uncertain,0.2884,Identity,0.9782,5
You will board my boat.,uncertain,0.3929,Resilience,0.6834,5
No.,very negative,0.4577,Family,0.8406,1
You will board my boat.,uncertain,0.3929,Resilience,0.6834,5
Yeah.,uncertain,0.3646,Family,0.8922,1
I am Moana of Motunui.,uncertain,0.2884,Identity,0.9782,5
You will board my...,uncertain,0.3251,Family,0.8168,4
Boat!,very positive,0.4554,Personal Growth,0.031,1
A boat!,very positive,0.5029,Resilience,0.5229,2
The gods have given me a...,uncertain,0.3959,Resilience,0.7414,6
"Maui, shapeshifter...",uncertain,0.4218,Resilience,0.2924,2
demigod of the wind and sea...,very negative,0.4887,Resilience,0.4283,6
I am Moana of...,uncertain,0.2637,Identity,0.9235,4
Hero of men.,very positive,0.5642,Personal Growth,0.6396,3
What?,uncertain,0.396,Family,0.3908,1
"It's actually, Maui, shapeshifter, demigod of the wind and sea...",very positive,0.4715,Resilience,0.0291,10
hero of men.,very positive,0.602,Resilience,0.6618,3
I interrupted.,uncertain,0.3844,Family,0.8039,2
From the top.,very positive,0.6329,Family,0.8508,3
Hero of men.,very positive,0.5642,Personal Growth,0.6396,3
Go.,uncertain,0.3746,Personal Growth,0.843,1
I am...,uncertain,0.4224,Identity,0.988,2
"Sorry, sorry, sorry.",neutral,0.5087,Family,0.8368,3
And women.,uncertain,0.4051,Resilience,0.6387,2
Men and women.,neutral,0.5015,Personal Growth,0.7215,3
Both.,neutral,0.6921,Resilience,0.7732,1
All.,uncertain,0.3521,Family,0.8632,1
"Not a guy, girl thing.",uncertain,0.4227,Resilience,0.5646,5
"You know, Maui is a hero to all.",very positive,0.6447,Resilience,0.8515,8
You're doing great.,uncertain,0.4013,Personal Growth,0.8878,3
What?,uncertain,0.396,Family,0.3908,1
No!,very negative,0.5534,Family,0.9037,1
I'm here to...,uncertain,0.4119,Personal Growth,0.8413,3
Of course.,uncertain,0.37,Family,0.9305,2
"Yes, yes, yes.",neutral,0.7626,Family,0.8896,3
Maui always has time for his fans.,uncertain,0.4153,Friendship,0.6349,7
When you use a bird to write with...,uncertain,0.3667,Resilience,0.4047,8
it's called tweeting.,uncertain,0.388,Personal Growth,0.01,3
"I know, not every day you get a chance to meet your hero.",uncertain,0.3942,Resilience,0.2137,13
You are not my hero.,negative,0.5008,Identity,0.6761,5
And I'm not here so you can sign my oar!,uncertain,0.3756,Loneliness,0.686,10
I'm here 'cause you stole the heart of Te Fiti!,very positive,0.7343,Trauma,0.9617,10
And you will board my boat...,uncertain,0.3494,Resilience,0.5707,6
and sail across the sea and put it back!,very positive,0.5882,Resilience,0.5783,9
"Yeah, it almost sounded like you don't like me...",uncertain,0.3146,Trauma,0.6334,9
which is impossible because...,uncertain,0.3847,Family,0.3362,4
"I got stuck here for 1,000 years...",uncertain,0.317,Trauma,0.9519,7
trying to get the heart as a gift for you mortals.,uncertain,0.2406,Personal Growth,0.8033,11
So you could have the power to create life itself.,uncertain,0.3166,Personal Growth,0.3779,10
Yeah.,uncertain,0.3646,Family,0.8922,1
"So, what I believe you were trying to say...",neutral,0.5169,Family,0.6449,9
"is ""thank you."" ""Thank you?"" You're welcome.",uncertain,0.3356,Family,0.6056,7
What?,uncertain,0.396,Family,0.3908,1
"No, no, no!",very negative,0.5215,Family,0.9186,3
I didn't...,uncertain,0.4282,Family,0.5247,2
I wasn't...,uncertain,0.4024,Personal Growth,0.592,2
Why would I ever say that?,uncertain,0.3483,Family,0.3538,6
"Okay, okay.",neutral,0.7579,Family,0.7632,2
